Seniority;Status;Category;FirstDivision;SecondDivision;RFEF1;RFEF2;RFEF3;Preferent;Regional1;Regional2;Regional3;Junior;Male;Sex;YearBorn;Age;DateBorn;MadridBorn;PlaceBorn;Spanish;PostCode;City;MainRef;AssRef;Role;textCategory;MadridOffice;AlcalaOffice;AranjuezOffice;Office;;Weight;Height;Profession;StartYear;StartDate;StartAge;DropYear;DropDate;DropAge;talent
5;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;2001;20;06/04/2001;1;MADRID;1;28918;Leganés;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;;;;2016;05/02/2016;15;2020;30/06/2020;19;0
11;0;5;0;0;0;0;1;0;0;0;0;0;1;MASCULINO;1984;37;06/08/1984;0;ALMERIA;1;28021;Madrid;0;1;ARBITRO ASISTENTE;A.A. 3ª RFEF;1;0;0;MADRID;;;;FUNCIONARIO JUSTICIA;2010;20/07/2010;26;2014;30/06/2014;30;0
26;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1974;47;11/04/1974;1;MADRID;1;28804;Alcalá De Henares;1;0;ARBITRO;SEGUNDA REGIONAL;0;1;0;ALCALA DE HENARES;;;;ESTUDIANTE;1995;01/03/1995;21;2014;30/06/2014;40;0
8;0;6;0;0;0;0;0;1;0;0;0;0;1;MASCULINO;1988;33;07/05/1988;0;JEREZ DE LA FRONTERA;1;28022;Madrid;1;0;ARBITRO;PREFERENTE;1;0;0;MADRID;;;;;2013;01/07/2013;25;2014;30/06/2014;26;0
7;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1987;34;05/07/1987;0;CUENCA;1;28597;Fuentidueña De Tajo;1;0;ARBITRO;SEGUNDA REGIONAL;0;0;1;ARANJUEZ;;;;;2014;26/06/2014;27;2018;13/03/2018;31;0
2;1;10;0;0;0;0;0;0;0;0;0;1;0;FEMENINO;2002;19;28/09/2002;1;MADRID;1;28005;Madrid;1;0;ARBITRO;JUVENIL;1;0;0;MADRID;;60;167;;2019;12/09/2019;17;;;;0
19;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1981;40;25/07/1981;1;MADRID;1;28916;Leganés;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;;;CARTERO;2002;23/09/2002;21;2014;30/06/2014;33;0
5;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1999;22;07/08/1999;1;MADRID;1;28018;Madrid;1;0;ARBITRO;EXCEDENCIA SEGUNDA REGIONAL;1;0;0;MADRID;;;;;2016;05/10/2016;17;2019;;20;0
15;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1982;39;01/09/1982;0;DRIOUCH (MARRUECOS);1;28037;Madrid;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;;;EMPLEADO;2006;20/09/2006;24;2021;30/06/2021;39;0
4;1;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;2001;20;09/06/2001;1;MADRID;1;28000;Alcalá De Henares;1;0;ARBITRO;SEGUNDA REGIONAL;0;1;0;ALCALA DE HENARES;;80;1.91;estudiante;2017;01/12/2017;16;;;;0
13;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1983;38;19/12/1983;0;FIREZE;1;28011;Madrid;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;;;;2008;28/02/2008;25;2014;30/06/2014;31;0
12;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1991;30;22/04/1991;1;MADRID;1;28970;Humanes De Madrid;1;0;ARBITRO;EXCEDENCIA SEGUNDA REGIONAL;1;0;0;MADRID;;;;ESTUDIANTE;2009;01/06/2009;18;2018;30/06/2018;27;0
12;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1981;40;09/04/1981;0;RUMANIA;0;28340;Valdemoro;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;;;CAMARERO;2009;30/12/2009;28;2014;30/06/2014;33;0
11;0;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;1994;27;27/03/1994;0;ECUADOR;0;28342;Valdemoro;1;0;ARBITRO;JUVENIL;0;0;1;ARANJUEZ;;;;ESTUDIANTE;2010;15/12/2010;16;2014;30/06/2014;20;0
7;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1995;26;14/05/1995;1;LEGANES;1;28970;Humanes De Madrid;1;0;ARBITRO;EXCEDENCIA SEGUNDA REGIONAL;1;0;0;MADRID;;;;;2014;26/06/2014;19;2018;30/06/2018;23;0
11;0;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;1976;45;13/01/1976;0;PERU;0;28025;Madrid;1;0;ARBITRO;JUVENIL;1;0;0;MADRID;;;;RADIOLOGO;2010;02/11/2010;34;2014;30/06/2014;38;0
3;1;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1998;23;26/05/1998;0;LIMA;1;28025;Madrid;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;;;;2018;18/07/2018;20;;;;0
40;0;1;1;0;0;0;0;0;0;0;0;0;1;MASCULINO;1963;58;19/01/1963;1;MADRID;1;28043;Madrid;0;1;ARBITRO ASISTENTE;A.A. 1ª DIVISION;1;0;0;MADRID;;;;LABORAL MEC;1981;01/01/1981;18;2014;30/06/2014;51;0
3;0;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;2002;19;08/04/2002;1;LEGANES;1;28919;Leganés;1;0;ARBITRO;JUVENIL;1;0;0;MADRID;;70;180;;2018;16/11/2018;16;2021;25/06/2021;19;0
20;0;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;1981;40;14/12/1981;0;SALAMANCA;1;28003;Madrid;1;0;ARBITRO;JUVENIL;1;0;0;MADRID;;;;ESTUDIANTE;2001;13/02/2001;20;2014;30/06/2014;33;0
23;0;7;0;0;0;0;0;0;1;0;0;0;1;MASCULINO;1982;39;19/10/1982;1;MADRID;1;28053;Madrid;1;0;ARBITRO;PRIMERA AFICIONADOS;1;0;0;MADRID;;;;ESTUDIANTE;1998;25/06/1998;16;2014;30/06/2014;32;0
26;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1979;42;23/07/1979;1;MADRID;1;28850;Torrejón De Ardoz;1;0;ARBITRO;SEGUNDA REGIONAL;0;1;0;ALCALA DE HENARES;;;;ESTUDIANTE;1995;01/02/1995;16;2014;30/06/2014;35;0
13;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1972;49;11/09/1972;0;CALI (COLOMBIA);1;28018;Madrid;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;;;CARPINTERO;2008;10/09/2008;36;2011;31/08/2011;39;0
33;0;7;0;0;0;0;0;0;1;0;0;0;1;MASCULINO;1970;51;26/09/1970;1;MADRID;1;28903;Getafe;1;0;ARBITRO;PRIMERA AFICIONADOS;1;0;0;MADRID;;;;GEOGRAFO;1988;01/01/1988;18;2014;30/06/2014;44;0
11;1;5;0;0;0;0;1;0;0;0;0;0;1;MASCULINO;1995;26;12/10/1995;1;VALDEMORO;1;28342;Valdemoro;0;1;ARBITRO ASISTENTE;A.A. 3ª RFEF;0;0;1;ARANJUEZ;;70;1.71;Consultor de ciberseguridad ;2010;15/12/2010;15;;;;0
12;1;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1991;30;24/04/1991;1;MADRID;1;28807;Alcalá De Henares;1;0;ARBITRO;SEGUNDA REGIONAL;0;1;0;ALCALA DE HENARES;;70;1.76;ESTUDIANTE;2009;11/11/2009;18;;;;0
4;1;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1991;30;05/06/1991;0;GUINEA;0;28982;Parla;1;0;ARBITRO;SEGUNDA REGIONAL;0;0;1;ARANJUEZ;;77;1.88;Cocinero ;2017;20/11/2017;26;;;;0
19;0;8;0;0;0;0;0;0;0;1;0;0;0;FEMENINO;1987;34;30/05/1987;1;MADRID;1;28019;Madrid;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;;;ESTUDIANTE;2002;12/02/2002;15;2014;30/06/2014;27;0
32;0;7;0;0;0;0;0;0;1;0;0;0;0;FEMENINO;1969;52;26/04/1969;1;MADRID;1;28047;Madrid;1;0;ARBITRO;PRIMERA AFICIONADOS;1;0;0;MADRID;;;;;1989;01/12/1989;20;1995;01/07/1995;26;0
2;1;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;2002;19;06/11/2002;1;MADRID;1;28054;Madrid;1;0;ARBITRO;JUVENIL;1;0;0;MADRID;;62;175;estudiante;2019;04/10/2019;17;;;;0
10;0;5;0;0;0;0;1;0;0;0;0;0;1;MASCULINO;1992;29;25/12/1992;0;BUENOS AIRES;0;28521;Arganda Del Rey;0;1;ARBITRO ASISTENTE;A.A. 3ª RFEF;1;0;0;MADRID;;;;;2011;20/10/2011;19;2016;30/06/2016;24;0
23;0;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;1970;51;12/12/1970;1;MADRID;1;28044;Madrid;1;0;ARBITRO;JUVENIL;1;0;0;MADRID;;;;AYUDANTE TECNICO;1998;01/02/1998;28;2014;30/06/2014;44;0
5;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1986;35;05/08/1986;0;BARCELONA;1;28041;Madrid;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;55;1.63;Gestor de Seguros;2016;05/04/2016;30;2019;;33;0
3;1;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1999;22;18/02/1999;1;MADRID;1;28521;Rivas-Vaciamadrid;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;;;;2018;18/07/2018;19;;;;0
20;0;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;1975;46;28/03/1975;1;MADRID;1;28939;Arroyomolinos;1;0;ARBITRO;JUVENIL;1;0;0;MADRID;;;;POLICIA NACIONAL;2001;22/02/2001;26;2014;30/06/2014;39;0
18;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1986;35;28/11/1986;1;MADRID;1;28042;Madrid;1;0;ARBITRO;EXCEDENCIA SEGUNDA REGIONAL;1;0;0;MADRID;;;;ESTUDIANTE;2003;21/02/2003;17;2014;30/06/2014;28;0
26;0;7;0;0;0;0;0;0;1;0;0;0;1;MASCULINO;1975;46;15/09/1975;1;MADRID;1;28864;Ajalvir;1;0;ARBITRO;PRIMERA AFICIONADOS;0;1;0;ALCALA DE HENARES;;;;ESTUDIANTE;1995;01/11/1995;20;2014;30/06/2014;39;0
6;0;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;1996;25;22/01/1996;1;MADRID;1;28038;Madrid;1;0;ARBITRO;JUVENIL;1;0;0;MADRID;;;;;2015;10/03/2015;19;2018;30/06/2018;22;0
3;0;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;2002;19;22/03/2002;0;VITORIA;1;28290;Las Rozas de Madrid;1;0;ARBITRO;JUVENIL;1;0;0;MADRID;;72;187;;2018;16/11/2018;16;2021;07/02/2021;19;0
7;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1989;32;18/12/1989;0;CATOIRA;1;28015;Madrid;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;;;;2014;25/09/2014;25;2017;30/06/2017;28;0
6;1;5;0;0;0;0;1;0;0;0;0;0;1;MASCULINO;1996;25;04/06/1996;1;GETAFE;1;28905;Getafe;1;0;ARBITRO;TERCERA RFEF;1;0;0;MADRID;;74;1.79;;2015;28/10/2015;19;;;;1
6;1;6;0;0;0;0;0;1;0;0;0;0;1;MASCULINO;1999;22;29/04/1999;1;MADRID;1;28032;Madrid;1;0;ARBITRO;PREFERENTE;1;0;0;MADRID;;;;;2015;28/10/2015;16;;;;1
11;0;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;1992;29;29/02/1992;1;ALCALA DE HENARES;1;28804;Alcalá De Henares;1;0;ARBITRO;JUVENIL;0;1;0;ALCALA DE HENARES;;74;1.78;ESTUDIANTE;2010;01/10/2010;18;2019;30/06/2019;27;0
12;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1982;39;23/07/1982;0;GUARROMAN;1;28014;Madrid;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;;;MILITAR;2009;23/10/2009;27;2014;30/06/2014;32;0
13;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1986;35;15/05/1986;0;LAS PALMAS (G.CANARI;1;28024;Madrid;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;;;FUNCIONARIO;2008;13/02/2008;22;2010;30/06/2010;24;0
18;0;6;0;0;0;0;0;1;0;0;0;0;1;MASCULINO;1975;46;26/07/1975;1;MADRID;1;28359;Titulcia;1;0;ARBITRO;PREFERENTE;0;0;1;ARANJUEZ;;;;POLICIA LOCAL;2003;19/11/2003;28;2014;30/06/2014;39;0
0;1;5;0;0;0;0;1;0;0;0;0;0;1;MASCULINO;1995;26;21/10/1995;0;BARCELONA;1;28020;Madrid;1;0;ARBITRO;TERCERA RFEF;1;0;0;MADRID;;69.5;175;Periodista;2021;29/07/2021;26;;;;0
8;0;5;0;0;0;0;1;0;0;0;0;0;1;MASCULINO;1986;35;19/04/1986;0;JAEN;1;28027;Madrid;0;1;ARBITRO ASISTENTE;A.A. 3ª RFEF;1;0;0;MADRID;;;;;2013;17/09/2013;27;2015;30/06/2015;29;0
6;1;6;0;0;0;0;0;1;0;0;0;0;1;MASCULINO;1999;22;04/05/1999;1;MOSTOLES;1;28937;Móstoles;1;0;ARBITRO;PREFERENTE;1;0;0;MADRID;;;;;2015;10/03/2015;16;;;;1
9;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1985;36;12/08/1985;1;MADRID;1;28042;Madrid;1;0;ARBITRO;EXCEDENCIA SEGUNDA REGIONAL;1;0;0;MADRID;;;;;2012;28/06/2012;27;2016;30/06/2016;31;0
3;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1991;30;09/05/1991;0;A CORUÑA;1;28054;Madrid;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;84;191;Vigilante de Seguridad;2018;28/06/2018;27;2019;30/06/2019;28;0
23;0;5;0;0;0;0;1;0;0;0;0;0;1;MASCULINO;1976;45;27/08/1976;0;GRANADA;1;28015;Madrid;0;1;ARBITRO ASISTENTE;A.A. 3ª RFEF;1;0;0;MADRID;;;;TRABAJADOR;1998;25/06/1998;22;2014;30/06/2014;38;0
3;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;2001;20;09/12/2001;1;MADRID;1;28914;Leganés;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;60;176;;2018;20/03/2018;17;2021;25/06/2021;20;0
8;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1999;22;11/12/1999;1;MADRID;1;28100;Alcobendas;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;;;;2013;05/11/2013;14;2019;30/06/2019;20;0
3;1;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;2002;19;08/07/2002;1;MADRID;1;28660;Boadilla Del Monte;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;;;;2018;14/09/2018;16;;;;0
17;0;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;1985;36;14/04/1985;1;MADRID;1;28040;Madrid;1;0;ARBITRO;JUVENIL;1;0;0;MADRID;;;;ESTUDIANTE;2004;16/01/2004;19;2014;30/06/2014;29;0
4;1;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1990;31;01/06/1990;0;SAN CRISTOBAL DE LA LAGUNA;1;28722;Vellón (El);1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;80;1.78;Fuerzas Armadas.;2017;12/07/2017;27;;;;0
14;0;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;1991;30;23/06/1991;1;MADRID;1;28030;Madrid;1;0;ARBITRO;JUVENIL;1;0;0;MADRID;;;;ESTUDIANTE;2007;06/02/2007;16;2014;30/06/2014;23;0
16;0;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;1990;31;16/02/1990;1;MADRID;1;28041;Madrid;1;0;ARBITRO;JUVENIL;1;0;0;MADRID;;;;ESTUDIANTE;2005;15/09/2005;15;2014;30/06/2014;24;0
12;0;7;0;0;0;0;0;0;1;0;0;0;1;MASCULINO;1991;30;24/02/1991;1;MADRID;1;28340;Valdemoro;1;0;ARBITRO;PRIMERA AFICIONADOS;0;0;1;ARANJUEZ;;;;ESTUDIANTE;2009;02/02/2009;18;2015;30/06/2015;24;0
5;0;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;1994;27;09/10/1994;0;SANTANDER;1;28000;Madrid;1;0;ARBITRO;JUVENIL;1;0;0;MADRID;;;;;2016;20/09/2016;22;2017;30/06/2017;23;0
16;0;6;0;0;0;0;0;1;0;0;0;0;1;MASCULINO;1989;32;21/03/1989;1;MADRID;1;28005;Madrid;1;0;ARBITRO;EXCEDENCIA PREFERENTE;1;0;0;MADRID;;;;ESTUDIANTE;2005;15/02/2005;16;2015;30/06/2015;26;0
27;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1972;49;31/01/1972;1;MADRID;1;28017;Madrid;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;;;FISICO;1994;01/04/1994;22;2014;30/06/2014;42;0
16;0;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;1974;47;22/02/1974;0;ECUADOR;1;28019;Madrid;1;0;ARBITRO;JUVENIL;1;0;0;MADRID;;;;;2005;15/02/2005;31;2014;30/06/2014;40;0
35;0;7;0;0;0;0;0;0;1;0;0;0;1;MASCULINO;1964;57;05/11/1964;1;MADRID;1;28914;Leganés;1;0;ARBITRO;PRIMERA AFICIONADOS;1;0;0;MADRID;;;;FUNCIONARIO AYTO. MADRID;1986;01/07/1986;22;2014;30/06/2014;50;0
24;0;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;1976;45;07/01/1976;1;MADRID;1;28915;Leganés;1;0;ARBITRO;JUVENIL;1;0;0;MADRID;;;;CAMARERO;1997;01/02/1997;21;2014;30/06/2014;38;0
8;1;6;0;0;0;0;0;1;0;0;0;0;1;MASCULINO;1993;28;23/01/1993;1;MADRID;1;28360;Villaconejos;1;0;ARBITRO;PREFERENTE;0;0;1;ARANJUEZ;;78;1.85;ADMINISTRATIVO;2013;24/10/2013;20;;;;0
3;1;7;0;0;0;0;0;0;1;0;0;0;1;MASCULINO;1996;25;28/09/1996;1;MADRID;1;28360;Villaconejos;1;0;ARBITRO;PRIMERA AFICIONADOS;0;0;1;ARANJUEZ;;;;;2018;18/07/2018;22;;;;1
7;1;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1987;34;22/08/1987;0;MEDE;0;28004;Madrid;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;60;173;;2014;01/10/2014;27;;;;0
3;1;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;2002;19;23/04/2002;1;MADRID;1;28046;Madrid;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;70;1.8;Estudiante;2018;18/07/2018;16;;;;0
4;1;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;1993;28;09/09/1993;1;MADRID;1;28046;Madrid;1;0;ARBITRO;JUVENIL;1;0;0;MADRID;;80;1.87;Fiscalista;2017;17/11/2017;24;;;;0
20;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1981;40;25/06/1981;1;MADRID;1;28035;Madrid;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;;;ESTUDIANTE;2001;13/02/2001;20;2014;30/06/2014;33;0
20;0;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;1980;41;02/02/1980;1;MADRID;1;28011;Madrid;1;0;ARBITRO;JUVENIL;1;0;0;MADRID;;;;ESTUDIANTE;2001;13/02/2001;21;2014;30/06/2014;34;0
7;0;7;0;0;0;0;0;0;1;0;0;0;1;MASCULINO;1998;23;10/06/1998;1;MADRID;1;28035;Madrid;1;0;ARBITRO;PRIMERA AFICIONADOS;1;0;0;MADRID;;;;;2014;29/10/2014;16;2019;;21;1
21;0;6;0;0;0;0;0;1;0;0;0;0;1;MASCULINO;1970;51;18/05/1970;0;PALENCIA;1;28017;Madrid;1;0;ARBITRO;PREFERENTE;1;0;0;MADRID;;;;TELEOPERADOR;2000;26/01/2000;30;2014;30/06/2014;44;0
9;0;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;1976;45;02/03/1976;1;MADRID;1;28907;Getafe;1;0;ARBITRO;JUVENIL;1;0;0;MADRID;;;;VENDEDOR;2012;----------;36;2014;30/06/2014;38;0
17;1;7;0;0;0;0;0;0;1;0;0;0;1;MASCULINO;1988;33;21/01/1988;1;MADRID;1;28031;Madrid;1;0;ARBITRO;PRIMERA AFICIONADOS;1;0;0;MADRID;;;;PROFESOR;2004;26/01/2004;16;;;;0
5;1;5;0;0;0;0;1;0;0;0;0;0;0;FEMENINO;1997;24;09/07/1997;0;BELALCAZAR;1;28850;Torrejón De Ardoz;1;0;ARBITRO;TERCERA RFEF;0;1;0;ALCALA DE HENARES;;67;170;;2016;20/01/2016;19;;;;1
6;0;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;1995;26;09/01/1995;1;MADRID;1;28341;Valdemoro;1;0;ARBITRO;JUVENIL;0;0;1;ARANJUEZ;;60;1.72;;2015;24/11/2015;20;2019;30/06/2019;24;0
8;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1997;24;30/05/1997;1;MADRID;1;28022;Madrid;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;;;;2013;05/11/2013;16;2020;30/06/2020;23;0
9;0;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;1996;25;21/03/1996;1;MADRID;1;28018;Madrid;1;0;ARBITRO;JUVENIL;1;0;0;MADRID;;;;;2012;26/11/2012;16;2015;30/06/2015;19;0
14;0;7;0;0;0;0;0;0;1;0;0;0;1;MASCULINO;1991;30;13/12/1991;1;MADRID;1;28850;Torrejón De Ardoz;1;0;ARBITRO;PRIMERA AFICIONADOS;0;1;0;ALCALA DE HENARES;;;;ESTUDIANTE;2007;03/07/2007;16;2016;30/06/2016;25;0
22;0;7;0;0;0;0;0;0;1;0;0;0;1;MASCULINO;1983;38;12/09/1983;1;MADRID;1;28943;Fuenlabrada;1;0;ARBITRO;PRIMERA AFICIONADOS;1;0;0;MADRID;;;;ESTUDIANTE;1999;12/01/1999;16;2014;30/06/2014;31;0
6;0;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;1994;27;21/09/1994;1;MADRID;1;28038;Madrid;1;0;ARBITRO;JUVENIL;1;0;0;MADRID;;69;1.7;;2015;27/10/2015;21;2019;30/06/2019;25;0
11;0;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;1985;36;24/10/1985;1;RIVAS VACIAMADRID;1;28000;Rivas-Vaciamadrid;1;0;ARBITRO;JUVENIL;1;0;0;MADRID;;;;INPECTOR CALIDAD;2010;30/06/2010;25;2014;30/06/2014;29;0
3;1;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1999;22;13/06/1999;1;MADRID;1;28922;Alcorcón;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;73;1.8;;2018;18/10/2018;19;;;;0
19;0;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;1986;35;23/10/1986;1;MADRID;1;28300;Aranjuez;1;0;ARBITRO;JUVENIL;0;0;1;ARANJUEZ;;;;ESTUDIANTE;2002;31/01/2002;16;2014;30/06/2014;28;0
8;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1997;24;14/06/1997;1;MADRID;1;28342;Valdemoro;1;0;ARBITRO;SEGUNDA REGIONAL;0;0;1;ARANJUEZ;;72;1.73;;2013;24/10/2013;16;2021;25/06/2021;24;0
20;0;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;1981;40;09/08/1981;0;PONTEDEUME (A CORUÑA;1;28340;Valdemoro;1;0;ARBITRO;JUVENIL;1;0;0;MADRID;;;;ESTUDIANTE;2001;13/02/2001;20;2014;30/06/2014;33;0
20;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1981;40;15/03/1981;0;CUENCA;1;28017;Madrid;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;;;ESTUDIANTE;2001;13/02/2001;20;2014;30/06/2014;33;0
3;1;7;0;0;0;0;0;0;1;0;0;0;1;MASCULINO;2000;21;15/01/2000;1;MADRID;1;28250;Torrelodones;1;0;ARBITRO;PRIMERA AFICIONADOS;1;0;0;MADRID;;70;180;Estudiante;2018;13/06/2018;18;;;;1
2;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1996;25;03/02/1996;0;TORRES DE LA ALAMEDA;1;28500;Arganda Del Rey;1;0;ARBITRO;SEGUNDA REGIONAL;0;1;0;ALCALA DE HENARES;;;;;2019;24/01/2019;23;2021;25/06/2021;25;0
31;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1973;48;16/12/1973;1;MADRID;1;28691;Villanueva De La Cañada;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;;;MAESTRO EDUCACION FISICA;1990;01/04/1990;17;2014;30/06/2014;41;0
4;1;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;2000;21;29/12/2000;1;ALCALA DE HENARES;1;28806;Alcalá De Henares;1;0;ARBITRO;SEGUNDA REGIONAL;0;1;0;ALCALA DE HENARES;;;;;2017;14/12/2017;17;;;;0
2;1;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;2001;20;07/04/2001;1;MADRID;1;28018;Madrid;1;0;ARBITRO;JUVENIL;1;0;0;MADRID;;75;170;;2019;16/08/2019;18;;;;0
20;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1984;37;18/11/1984;1;MADRID;1;28035;Madrid;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;;;ESTUDIANTE;2001;10/09/2001;17;2014;30/06/2014;30;0
21;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1979;42;03/10/1979;0;JAEN;1;28806;Alcalá De Henares;1;0;ARBITRO;SEGUNDA REGIONAL;0;1;0;ALCALA DE HENARES;;;;TECNICO INFORMATICO;2000;24/01/2000;21;2014;30/06/2014;35;0
11;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1984;37;17/03/1984;0;Oviedo;1;28011;Madrid;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;73;175;;2010;02/11/2010;26;2019;30/06/2019;35;0
9;0;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;1992;29;16/08/1992;1;MADRID;1;28023;Madrid;1;0;ARBITRO;JUVENIL;1;0;0;MADRID;;;;ESTUDIANTE;2012;----------;20;2014;30/06/2014;22;0
4;1;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;2001;20;11/05/2001;1;MADRID;1;28054;Madrid;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;;;;2017;20/11/2017;16;;;;1
9;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1994;27;28/01/1994;1;MADRID;1;28912;Leganés;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;70;174;;2012;30/01/2012;18;2021;29/06/2021;27;0
