Seniority;Status;Category;FirstDivision;SecondDivision;RFEF1;RFEF2;RFEF3;Preferent;Regional1;Regional2;Regional3;Junior;Male;Sex;YearBorn;Age;DateBorn;MadridBorn;PlaceBorn;Spanish;PostCode;City;MainRef;AssRef;Role;textCategory;MadridOffice;AlcalaOffice;AranjuezOffice;Office;;Weight;Height;Profession;StartYear;StartDate;StartAge;DropYear;DropDate;DropAge;talent
13;0;7;0;0;0;0;0;0;1;0;0;0;1;MASCULINO;1986;35;11/12/1986;1;MADRID;1;28100;Alcobendas;1;0;ARBITRO;EXCEDENCIA PRIMERA AFICIONADOS;1;0;0;MADRID;;75;1.8;Profesor;2008;01/11/2008;22;2019;;33;0
28;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1975;46;14/08/1975;1;MADRID;1;28915;Leganés;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;;;ESTUDIANTE;1993;01/12/1993;18;2014;30/06/2014;39;0
3;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1999;22;08/01/1999;1;MADRID;1;28500;Arganda Del Rey;1;0;ARBITRO;SEGUNDA REGIONAL;0;1;0;ALCALA DE HENARES;;;;estudiante universitario;2018;17/10/2018;19;2021;25/06/2021;22;0
12;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1995;26;23/06/1995;1;MOSTOLES (MADRID);1;28925;Alcorcón;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;;;ESTUDIANTE;2009;01/06/2009;14;2017;30/06/2017;22;0
7;0;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;1997;24;10/05/1997;0;LAS PALMAS DE G. CANARIA;1;28005;Madrid;1;0;ARBITRO;JUVENIL;1;0;0;MADRID;;;;;2014;26/06/2014;17;2016;30/11/2016;19;0
21;0;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;1976;45;27/12/1976;1;MADRID;1;28017;Madrid;1;0;ARBITRO;JUVENIL;1;0;0;MADRID;;;;ESTUDIANTE;2000;20/06/2000;24;2014;30/06/2014;38;0
12;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1985;36;15/02/1985;0;TOLEDO;1;28341;Valdemoro;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;;;;2009;02/02/2009;24;2014;30/06/2014;29;0
11;0;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;1991;30;01/05/1991;1;MADRID;1;28341;Valdemoro;1;0;ARBITRO;JUVENIL;0;0;1;ARANJUEZ;;;;ESTUDIANTE;2010;15/12/2010;19;2018;30/06/2018;27;0
2;1;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;1993;28;26/08/1993;1;PELAYOS DE LA PRESA;1;28917;Leganés;1;0;ARBITRO;JUVENIL;1;0;0;MADRID;;76;172;FRESADOR;2019;16/08/2019;26;;;;0
22;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1976;45;24/04/1976;1;MADRID;1;28110;Madrid;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;;;PEON;1999;13/07/1999;23;2014;30/06/2014;38;0
